,name,pasType,bufferVal,spacing,minh,distance,tolerance,TruePositives,FalsePositives,FalseNegatives,TrueNegatives
336,Y,TE,1,50,0.0003839462882533796,25,0,55,21,40,74
337,Y,IN,1,50,0.0003839462882533796,25,0,49,13,135,171
338,Y,TE,1,50,0.00040420006948694545,25,0,55,20,40,75
339,Y,IN,1,50,0.00040420006948694545,25,0,49,13,135,171
340,Y,TE,1,50,0.0004257630947297131,25,0,55,19,40,76
341,Y,IN,1,50,0.0004257630947297131,25,0,49,13,135,171
342,Y,TE,1,50,0.00044881428666145777,25,0,54,19,41,76
343,Y,IN,1,50,0.00044881428666145777,25,0,49,12,135,172
344,Y,TE,1,50,0.00047349282959381904,25,0,54,19,41,76
345,Y,IN,1,50,0.00047349282959381904,25,0,49,12,135,172
346,Y,TE,1,50,0.0005000047358169888,25,0,53,18,42,77
347,Y,IN,1,50,0.0005000047358169888,25,0,47,11,137,173
348,Y,TE,1,50,0.0005285515190075534,25,0,53,18,42,77
349,Y,IN,1,50,0.0005285515190075534,25,0,45,11,139,173
350,Y,TE,1,50,0.0005593962305114734,25,0,53,17,42,78
351,Y,IN,1,50,0.0005593962305114734,25,0,45,11,139,173
352,Y,TE,1,50,0.0005928162869010952,25,0,53,17,42,78
353,Y,IN,1,50,0.0005928162869010952,25,0,44,11,140,173
354,Y,TE,1,50,0.0006291721459333007,25,0,53,17,42,78
355,Y,IN,1,50,0.0006291721459333007,25,0,44,9,140,175
356,Y,TE,1,50,0.0006688900828539947,25,0,53,16,42,79
357,Y,IN,1,50,0.0006688900828539947,25,0,44,9,140,175
358,Y,TE,1,50,0.0007124764817035615,25,0,53,16,42,79
359,Y,IN,1,50,0.0007124764817035615,25,0,44,9,140,175
360,Y,TE,1,50,0.0007605943147138664,25,0,52,16,43,79
361,Y,IN,1,50,0.0007605943147138664,25,0,43,8,141,176
362,Y,TE,1,50,0.000813930760983307,25,0,51,14,44,81
363,Y,IN,1,50,0.000813930760983307,25,0,42,8,142,176
364,Y,TE,1,50,0.0008733624931044557,25,0,51,14,44,81
365,Y,IN,1,50,0.0008733624931044557,25,0,42,7,142,177
366,Y,TE,1,50,0.0009401870150351577,25,0,51,14,44,81
367,Y,IN,1,50,0.0009401870150351577,25,0,42,7,142,177
368,Y,TE,1,50,0.0010157830986010812,25,0,51,14,44,81
369,Y,IN,1,50,0.0010157830986010812,25,0,42,6,142,178
370,Y,TE,1,50,0.001101983265510241,25,0,51,13,44,82
371,Y,IN,1,50,0.001101983265510241,25,0,42,6,142,178
372,Y,TE,1,50,0.0012015383620366652,25,0,51,11,44,84
373,Y,IN,1,50,0.0012015383620366652,25,0,42,6,142,178
374,Y,TE,1,50,0.0013176206679799385,25,0,51,11,44,84
375,Y,IN,1,50,0.0013176206679799385,25,0,42,6,142,178
376,Y,TE,1,50,0.0014549556716485755,25,0,51,11,44,84
377,Y,IN,1,50,0.0014549556716485755,25,0,42,6,142,178
378,Y,TE,1,50,0.0016202303371275631,25,0,51,10,44,85
379,Y,IN,1,50,0.0016202303371275631,25,0,41,5,143,179
380,Y,TE,1,50,0.0018228366908494664,25,0,49,8,46,87
381,Y,IN,1,50,0.0018228366908494664,25,0,41,5,143,179
382,Y,TE,1,50,0.0020772677956175847,25,0,48,6,47,89
383,Y,IN,1,50,0.0020772677956175847,25,0,41,4,143,180
384,Y,TE,1,50,0.002406047242256396,25,0,48,6,47,89
385,Y,IN,1,50,0.002406047242256396,25,0,40,2,144,182
386,Y,TE,1,50,0.0028463750485353085,25,0,48,5,47,90
387,Y,IN,1,50,0.0028463750485353085,25,0,38,2,146,182
388,Y,TE,1,50,0.0034641027338373634,25,0,45,4,50,91
389,Y,IN,1,50,0.0034641027338373634,25,0,37,2,147,182
390,Y,TE,1,50,0.004381964885803229,25,0,44,3,51,92
391,Y,IN,1,50,0.004381964885803229,25,0,37,2,147,182
392,Y,TE,1,50,0.005862944543443387,25,0,42,1,53,94
393,Y,IN,1,50,0.005862944543443387,25,0,36,1,148,183
394,Y,TE,1,50,0.008576700452046294,25,0,41,1,54,94
395,Y,IN,1,50,0.008576700452046294,25,0,35,1,149,183
396,Y,TE,1,50,0.015003258994833474,25,0,38,0,57,95
397,Y,IN,1,50,0.015003258994833474,25,0,33,1,151,183
398,Y,TE,1,50,0.4893544462033438,25,0,0,0,95,95
